Experiment_name, System, Variable, Value, Time
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.667281443632726,            17.999999999999968
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5774306002279044,            17.999999999999968
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5774306002279044,            17.999999999999968
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.68360776205877,            18.199999999999967
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5880317595801552,            18.199999999999967
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5880317595801552,            18.199999999999967
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.700480425448102,            18.399999999999967
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5959978216565143,            18.399999999999967
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5959978216565143,            18.399999999999967
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.71776238579383,            18.599999999999966
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.6014844171971725,            18.599999999999966
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.6014844171971725,            18.599999999999966
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.735324724787352,            18.799999999999965
